OBJECTID,FEATTYPE,TYPE,NAME,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,geometry
89,Airport,1,ROCKHAMPTON AIRPORT,2002-07-24,2002-07-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47284,701,0.0,0,POINT (150.47662 -23.38258)
98,Airport,1,BUNDABERG AIRPORT,2001-09-10,2001-09-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49338,701,0.0,0,POINT (152.31833 -24.90333)
1300,Airport,1,CAMBRIDGE AERODROME,2003-03-11,2003-03-11,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48487,701,0.0,0,POINT (147.47501 -42.82667)
1342,Airport,1,GUNNEDAH AERODROME,2001-08-10,2001-08-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48292,701,0.0,0,POINT (150.25002 -30.96166)
2424,Airport,1,,2001-04-10,2001-04-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46353,701,0.0,0,POINT (116.015 -31.66833)
2425,Airport,1,HALLS CREEK AERODROME,2002-10-17,2002-10-17,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48943,701,0.0,0,POINT (127.67 -18.23333)
2446,Airport,1,OLYMPIC DAM AERODROME,2000-09-06,2000-09-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46938,701,0.0,0,POINT (136.87834 -30.48333)
3588,Airport,1,THARGOMINDAH AERODROME,2001-11-22,2001-11-22,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49676,701,0.0,0,POINT (143.81167 -27.98667)
1348,Airport,1,QUIRINDI AERODROME,2001-04-24,2001-04-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46479,701,0.0,0,POINT (150.51836 -31.49832)
1366,Airport,1,LEIGH CREEK AERODROME,2000-09-18,2000-09-18,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45083,701,0.0,0,POINT (138.42667 -30.59833)
1420,Airport,1,,1999-07-20,1999-07-20,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48448,701,0.0,0,POINT (136.81795 -31.14189)
2486,Airport,1,BOULIA AERODROME,2000-04-07,2000-04-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49475,701,0.0,0,POINT (139.9 -22.91333)
3598,Airport,1,COOBER PEDY AERODROME,2001-11-27,2001-11-27,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47662,701,0.0,0,POINT (134.72167 -29.04)
3614,Airport,1,MOOMBA AERODROME,2002-07-30,2002-07-30,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47200,701,0.0,0,POINT (140.19666999999998 -28.1)
3643,Airport,1,WINTON AERODROME,2001-11-01,2001-11-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49448,701,0.0,0,POINT (143.085 -22.36333)
3647,Airport,1,ARGYLE AERODROME,1999-05-06,1999-05-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50385,701,0.0,0,POINT (128.45046 -16.63624)
313,Airport,1,MILINGIMBI AERODROME,2000-05-24,2000-05-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46930,701,0.0,0,POINT (134.89333 -12.094999999999999)
1455,Airport,1,MAREEBA AERODROME,2001-09-07,2001-09-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47621,701,0.0,0,POINT (145.41836 -17.0683)
2616,Airport,1,WILUNA AERODROME,2003-03-05,2003-03-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47264,701,0.0,0,POINT (120.22 -26.63)
3670,Airport,1,BLACKWATER AERODROME,2002-09-19,2002-09-19,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48737,701,0.0,0,POINT (148.80652 -23.60236)
3687,Airport,1,LEONORA AERODROME,2002-05-27,2002-05-27,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45069,701,0.0,0,POINT (121.315 -28.87833)
3690,Airport,1,KALGOORLIE-BOULDER AERODROME,2002-01-07,2002-01-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44639,701,0.0,0,POINT (121.46167 -30.79)
3692,Airport,1,MACKAY AERODROME,2001-04-07,2001-04-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45342,701,0.0,0,POINT (149.18 -21.17167)
3698,Airport,1,PORT AUGUSTA AERODROME,2002-05-01,2002-05-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45802,701,0.0,0,POINT (137.71667 -32.50667)
3731,Airport,1,TIBOOBURRA AERODROME,2001-11-30,2001-11-30,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46315,701,0.0,0,POINT (142.05835 -29.45165)
5019,Airport,1,TOCUMWAL AERODROME,2002-01-12,2002-01-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48475,701,0.0,0,POINT (145.60333 -35.81)
5020,Airport,1,COROWA AERODROME,2002-01-12,2002-01-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46210,701,0.0,0,POINT (146.35673 -35.994659999999996)
5029,Airport,1,CANBERRA AIRPORT,2002-08-19,2002-08-19,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44833,701,0.0,0,POINT (149.19333 -35.30833)
5070,Airport,1,BENALLA AERODROME,2002-01-06,2002-01-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46651,701,0.0,0,POINT (146.00675 -36.55195)
5071,Airport,1,WANGARATTA AERODROME,2002-01-06,2002-01-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47530,701,0.0,0,POINT (146.30687 -36.41592)
5072,Airport,1,ALBURY AERODROME,2002-01-06,2002-01-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49689,701,0.0,0,POINT (146.95362 -36.06989)
4942,Airport,1,HOPETOUN AERODROME,2003-05-05,2003-05-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50225,701,0.0,0,POINT (142.36 -35.715)
4961,Airport,1,COONABARABRAN AERODROME,2002-05-07,2002-05-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48009,701,0.0,0,POINT (149.26667 -31.33333)
4962,Airport,1,COOLAH AERODROME,2002-05-07,2002-05-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46591,701,0.0,0,POINT (149.61 -31.77333)
4983,Airport,1,DUBBO AERODROME,2003-04-06,2003-04-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45565,701,0.0,0,POINT (148.575 -32.21667)
4984,Airport,1,MUDGEE AERODROME,2003-04-06,2003-04-06,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50065,701,0.0,0,POINT (149.61167 -32.56167)
5003,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46932,701,0.0,0,POINT (151.20913000000002 -32.64873)
5183,Airport,1,TOOWOOMBA AERODROME,2002-07-25,2002-07-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47512,701,0.0,0,POINT (151.9167 -27.54332)
5184,Airport,1,BALLINA AERODROME,2002-08-01,2002-08-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45149,701,0.0,0,POINT (153.56135 -28.8332)
5187,Airport,1,COOLANGATTA AIRPORT,2002-05-03,2002-05-03,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45370,701,0.0,0,POINT (153.50503 -28.16499)
5316,Airport,1,BANKSTOWN AIRPORT,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47070,701,0.0,0,POINT (150.98833 -33.925)
5317,Airport,1,SYDNEY AIRPORT,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48948,701,0.0,0,POINT (151.17667 -33.94667)
5318,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48852,701,0.0,0,POINT (150.78 -33.6)
5319,Airport,1,HOXTON PARK AERODROME,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48306,701,0.0,0,POINT (150.85167 -33.91)
5320,Airport,1,CAMDEN AERODROME,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48060,701,0.0,0,POINT (150.68667 -34.04)
5321,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50361,701,0.0,0,POINT (150.952 -33.99534)
5341,Airport,1,TOWNSVILLE INTERNATIONAL AIRPORT,2001-05-24,2001-05-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50087,701,0.0,0,POINT (146.76503 -19.2533)
5366,Airport,1,EMERALD AERODROME,2002-09-12,2002-09-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49862,701,0.0,0,POINT (148.18003 -23.56831)
5233,Airport,1,CROKER ISLAND AERODROME,2003-07-22,2003-07-22,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49957,701,0.0,0,POINT (132.48333 -11.165)
5234,Airport,1,SOUTH GOULBURN ISLAND AERODROME,2003-07-22,2003-07-22,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44534,701,0.0,0,POINT (133.38166999999999 -11.649999999999999)
5241,Airport,1,DARWIN INTERNATIONAL AIRPORT,2003-04-25,2003-04-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49320,701,0.0,0,POINT (130.87667 -12.415)
5281,Airport,1,ST GEORGE AERODROME,2004-05-01,2004-05-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50063,701,0.0,0,POINT (148.595 -28.05)
5398,Airport,1,INVERELL AIRPORT,2001-07-04,2001-07-04,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47109,701,0.0,0,POINT (151.145 -29.88833)
5420,Airport,1,SHARK BAY AERODROME,2002-03-25,2002-03-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49006,701,0.0,0,POINT (113.57666 -25.89332)
5439,Airport,1,CUNNAMULLA AERODROME,2002-08-27,2002-08-27,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49414,701,0.0,0,POINT (145.62169 -28.02998)
5444,Airport,1,KERANG AERODROME,2002-02-07,2002-02-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49386,701,0.0,0,POINT (143.94 -35.751670000000004)
5472,Airport,1,OENPELLI AERODROME,2003-06-07,2003-06-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44657,701,0.0,0,POINT (133.005 -12.325000000000003)
5487,Airport,1,ESPERANCE AERODROME,2001-03-02,2001-03-02,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44965,701,0.0,0,POINT (121.82129 -33.685739999999996)
5492,Airport,1,EDINBURGH AERODROME,2002-03-09,2002-03-09,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46793,701,0.0,0,POINT (138.62 -34.70333)
5493,Airport,1,PARAFIELD AIRPORT,2002-03-09,2002-03-09,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45527,701,0.0,0,POINT (138.63485 -34.7934)
5494,Airport,1,ADELAIDE INTERNATIONAL AIRPORT,2002-03-09,2002-03-09,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47353,701,0.0,0,POINT (138.53 -34.945)
5520,Airport,1,WYNDHAM AERODROME,2004-04-17,2004-04-17,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45854,701,0.0,0,POINT (128.15333 -15.511670000000002)
5521,Airport,1,KUNUNURRA AERODROME,2004-04-17,2004-04-17,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47154,701,0.0,0,POINT (128.70667 -15.778329999999997)
5559,Airport,1,CHINCHILLA AERODROME,2004-05-01,2004-05-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48159,701,0.0,0,POINT (150.61666 -26.775)
5570,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49777,701,0.0,0,POINT (150.53667000000002 -34.94833)
5571,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44762,701,0.0,0,POINT (150.69729999999998 -35.14845)
5572,Airport,1,MORUYA AERODROME,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48734,701,0.0,0,POINT (150.145 -35.89833)
5573,Airport,1,WOLLONGONG AERODROME,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44952,701,0.0,0,POINT (150.78833 -34.56167)
5583,Airport,1,MARYBOROUGH AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47448,701,0.0,0,POINT (143.70833 -37.03333)
5584,Airport,1,STAWELL AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44982,701,0.0,0,POINT (142.74 -37.07167)
5585,Airport,1,ARARAT AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44846,701,0.0,0,POINT (142.98833 -37.31)
5586,Airport,1,BALLARAT AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47865,701,0.0,0,POINT (143.79167 -37.51167)
5649,Airport,1,BLACKALL AERODROME,2002-10-01,2002-10-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46449,701,0.0,0,POINT (145.42169 -24.43498)
5659,Airport,1,LAKE CARGELLIGO AERODROME,2001-12-12,2001-12-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46232,701,0.0,0,POINT (146.37 -33.28)
4501,Airport,1,GRIFFITH AERODROME,2003-12-01,2003-12-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49458,701,0.0,0,POINT (146.066 -34.251599999999996)
4502,Airport,1,NARRANDERA AERODROME,2003-12-01,2003-12-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46484,701,0.0,0,POINT (146.51116 -34.69907)
4511,Airport,1,DENILIQUIN AERODROME,2004-01-01,2004-01-01,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48623,701,0.0,0,POINT (144.94666 -35.56)
4522,Airport,1,,2003-07-05,2003-07-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50102,701,0.0,0,POINT (151.835 -32.795)
4532,Airport,1,,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49925,701,0.0,0,POINT (145.06333 -37)
4543,Airport,1,MELBOURNE AIRPORT,2003-06-26,2003-06-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48514,701,0.0,0,POINT (144.84333 -37.67333)
4544,Airport,1,ESSENDON AIRPORT,2003-06-26,2003-06-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44443,701,0.0,0,POINT (144.90167 -37.72833)
4545,Airport,1,,2003-06-26,2003-06-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45122,701,0.0,0,POINT (144.75333 -37.93167)
4546,Airport,1,MOORABBIN AIRPORT,2003-06-26,2003-06-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45175,701,0.0,0,POINT (145.10167 -37.97667)
4547,Airport,1,AVALON AIRPORT,2003-06-26,2003-06-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47560,701,0.0,0,POINT (144.47 -38.04)
4590,Airport,1,WHYALLA AIRPORT,2004-10-10,2001-11-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49741,701,0.0,0,POINT (137.51919 -33.0586)
4593,Airport,1,PORT PIRIE AERODROME,2004-10-10,2001-11-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47052,701,0.0,0,POINT (137.99563 -33.23803)
4595,Airport,1,CLEVE AERODROME,2001-11-25,2001-11-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46257,701,0.0,0,POINT (136.50501 -33.70999)
4633,Airport,1,TEMORA AERODROME,2002-02-21,2002-02-21,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49600,701,0.0,0,POINT (147.51167 -34.42167)
5760,Airport,1,COBAR AIRPORT,2004-11-16,2004-11-16,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45999,701,0.0,0,POINT (145.79333 -31.53833)
5822,Airport,1,NUMBULWAR AERODROME,1999-12-08,1999-12-08,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45978,701,0.0,0,POINT (135.71667 -14.27167)
4736,Airport,1,WARREN AERODROME,2002-06-02,2002-06-02,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49354,701,0.0,0,POINT (147.80335 -31.73332)
4737,Airport,1,NYNGAN AERODROME,2002-06-02,2002-06-02,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49134,701,0.0,0,POINT (147.20323 -31.55165)
5845,Airport,1,ARCHERFIELD AIRPORT,2002-05-03,2002-05-03,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45502,701,0.0,0,POINT (153.00837 -27.56999)
5849,Airport,1,SMITHTON AERODROME,2003-03-11,2003-03-11,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44450,701,0.0,0,POINT (145.08333 -40.835)
4636,Airport,1,GLEN INNES AERODROME,2002-05-23,2002-05-23,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44665,701,0.0,0,POINT (151.68962 -29.67302)
4648,Airport,1,COLLARENEBRI AERODROME,2002-05-07,2002-05-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,48694,701,0.0,0,POINT (148.58167 -29.52167)
4662,Airport,1,,2001-05-24,2001-05-24,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44539,701,0.0,0,POINT (115.68333 -32.24167)
4690,Airport,1,,2001-02-07,2001-02-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49425,701,0.0,0,POINT (147.15 -38.098330000000004)
4697,Airport,1,LOCKHART RIVER AERODROME,2002-10-23,2002-10-23,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45796,701,0.0,0,POINT (143.305 -12.786659999999998)
4699,Airport,1,TUMUT,2002-02-14,2002-02-14,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47358,701,0.0,0,POINT (148.24052 -35.26781)
4706,Airport,1,NHILL AERODROME,2003-05-05,2003-05-05,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46629,701,0.0,0,POINT (141.64167 -36.31)
5918,Airport,1,BALRANALD,2000-12-12,2000-12-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50347,701,0.0,0,POINT (143.57833 -34.623329999999996)
5919,Airport,1,ROBINVALE,2000-12-12,2000-12-12,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46392,701,0.0,0,POINT (142.78333 -34.65)
5941,Airport,1,TAROOM AERODROME,2004-05-10,2004-05-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,44584,701,0.0,0,POINT (149.9 -25.80167)
5961,Airport,1,KARRATHA AERODROME,2004-09-25,2004-09-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49977,701,0.0,0,POINT (116.77333 -20.71167)
5962,Airport,1,BARROW ISLAND LANDING GROUND,2004-09-25,2004-09-25,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46403,701,0.0,0,POINT (115.40667 -20.865)
5978,Airport,1,ONSLOW AERODROME,2004-09-08,2004-09-08,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46406,701,0.0,0,POINT (115.11333 -21.66833)
4786,Airport,1,HERVEY BAY AERODROME,2004-05-28,2004-05-28,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45699,701,0.0,0,POINT (152.88 -25.31833)
4787,Airport,1,MARYBOROUGH AIRPORT,2004-05-28,2004-05-28,100,GEOSCIENCE AUSTRALIA,2006-05-09,,46952,701,0.0,0,POINT (152.715 -25.51333)
4802,Airport,1,MAROOCHYDORE AERODROME,2002-10-31,2002-10-31,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47100,701,0.0,0,POINT (153.09192000000002 -26.60341)
4803,Airport,1,KINGAROY AERODROME,2002-10-31,2002-10-31,100,GEOSCIENCE AUSTRALIA,2006-05-09,,49880,701,0.0,0,POINT (151.83981 -26.58061)
5995,Airport,1,RENMARK AERODROME,2002-03-09,2002-03-09,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45716,701,0.0,0,POINT (140.67333 -34.19667)
6021,Airport,1,LIGHTNING RIDGE AERODROME,2002-07-13,2002-07-13,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45335,701,0.0,0,POINT (147.97677 -29.45257)
4891,Airport,1,,2001-04-10,2001-04-10,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47149,701,0.0,0,POINT (115.86333 -31.465)
4908,Airport,1,MOUNT KEITH AERODROME,2003-02-26,2003-02-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,50110,701,0.0,0,POINT (120.555 -27.28667)
4924,Airport,1,SHEPPARTON AERODROME,2003-05-26,2003-05-26,100,GEOSCIENCE AUSTRALIA,2006-05-09,,45238,701,0.0,0,POINT (145.39333 -36.42833)
4926,Airport,1,,2002-01-07,2002-01-07,100,GEOSCIENCE AUSTRALIA,2006-05-09,,47782,701,0.0,0,POINT (150.179 -22.47385)
